ISBN,상품명,저자,출판사,분야,권수,누적권수
9788936434120,소년이 온다 - 2024 노벨문학상 수상작가,한강 (지은이),창비,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,17.0,17.0
9791193506516,초역 부처의 말 - 2500년 동안 사랑받은,"코이케 류노스케 (지은이), 박재현 (옮긴이)",포레스트북스,국내도서>인문학>교양 인문학,18.0,35.0
9788936434595,채식주의자 (리마스터판) - 2024 노벨문학상 수상작가,한강 (지은이),창비,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,17.0,52.0
9788954682152,"작별하지 않는다 - 2024 노벨문학상 수상작가, 한강 장편소설",한강 (지은이),문학동네,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,17.0,69.0
9791130646381,이처럼 사소한 것들,"클레어 키건 (지은이), 홍한별 (옮긴이)",다산책방,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,18.0,87.0
9791173320620,나의 완벽한 비서 대본집 2,지은 (지은이),김영사,국내도서>예술/대중문화>영화/드라마>시나리오/시나리오작법,17.0,104.0
9791173320613,나의 완벽한 비서 대본집 1,지은 (지은이),김영사,국내도서>예술/대중문화>영화/드라마>시나리오/시나리오작법,17.0,121.0
9791192389233,마음의 기술 - 부정적 감정을 지우는 효과적인 뇌 사용법,"안-엘렌 클레르, 뱅상 트리부 (지은이), 구영옥 (옮긴이)",상상스퀘어,국내도서>인문학>심리학/정신분석학>교양 심리학,17.0,138.0
9791169851053,어른의 행복은 조용하다,태수 (지은이),페이지2(page2),국내도서>에세이>한국에세이,17.0,155.0
9791187011590,데미안 (오리지널 초판본 표지디자인) - 최신 원전 완역본,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설)",코너스톤,국내도서>소설/시/희곡>독일소설,17.0,172.0
9791141601638,"설자은, 불꽃을 쫓다",정세랑 (지은이),문학동네,국내도서>소설/시/희곡>역사소설>한국 역사소설,17.0,189.0
9791138928144,"2025 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급) - 2025 시험 대비, 72~63회 수록",최태성 (지은이),이투스북,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",17.0,206.0
9791193937396,왜 그들만 부자가 되는가 - 부의 격차를 좁히는 진짜 돈의 모습,"필립 바구스, 안드레아스 마르크바르트 (지은이), 배진아 (옮긴이)",북모먼트,국내도서>경제경영>경제학/경제일반>경제이야기,17.0,223.0
9791190669030,삼국지 원전 완역판 세트 - 전10권,"요시카와 에이지 (엮은이), 나관중 (원작), 바른번역 (옮긴이)",코너스톤,국내도서>소설/시/희곡>역사소설>외국 역사소설,17.0,240.0
9788917239508,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩) - 토익 기출문제 독점출간/ ALL NEW 최신기출 10회 수록/ 문제집+해설집+무료 동영상 강의+기출어휘 단어장(PDF)+APP 모바일 학습,ETS (엮은이),(주)YBM(와이비엠),국내도서>외국어>토익>Reading,18.0,258.0
9788917239492,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝) - 토익 기출문제 독점출간/ ALL NEW 최신기출 10회 수록/ 문제집+해설집+무료 정기시험 성우 MP3+무료 동영상 강의+기출어휘 단어장(PDF)+APP 모바일 학습,ETS (엮은이),(주)YBM(와이비엠),국내도서>외국어>토익>Listening,18.0,276.0
9791192097978,지적 대화를 위한 넓고 얕은 지식 무한 - 지식과 지혜를 실천으로 이끄는 마음 여행서,채사장 (지은이),웨일북,국내도서>인문학>교양 인문학,17.0,293.0
9791138928120,"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하 - 한국사능력검정시험 심화(1, 2, 3급)에 대비한 맞춤 기본서",최태성 (지은이),이투스북,"국내도서>수험서/자격증>한국사능력검정시험>심화(1,2,3급)",17.0,310.0
