ISBN,상품명,저자,출판사,분야,권수,누적권수
9788996634263,동양고전의 바다에 빠져라 ,최진기 지음,스마트북스,"동양철학, 동양사상",2,2
9788935212484,다산의 마지막 공부 :마음을 지켜낸다는 것 ,조윤제 지음,청림출판,"동양철학, 동양사상",2,4
9788960866591,"나를 지켜낸다는 것 :칭화대 10년 연속 최고의 명강, 수신의 길 ",지은이: 팡차오후이 ;옮긴이: 박찬철,위즈덤하우스,"동양철학, 동양사상",2,6
9788960867970,생각하는 힘 노자 인문학 :EBS [인문학 특강] 최진석 교수의 노자 강의 ,최진석 지음,위즈덤하우스,"동양철학, 동양사상",2,8
9788965961369,그때 장자를 만났다 :내 인생의 전환점 ,강상구 지음,흐름출판,"동양철학, 동양사상",2,10
9788935213344,다산의 마지막 습관 :기본으로 돌아간다는 것 ,조윤제 지음,청림출판,"동양철학, 동양사상",2,12
9788935213733,다산의 마지막 질문 :나를 깨닫는다는 것 ,조윤제 지음,청림출판,"동양철학, 동양사상",2,14
9791169851015,좋은 사람 되려다 쉬운 사람 되지 마라 :2500년 동양고전이 전하는 인간관계의 정수 ,이남훈 지음,Page2(페이지2북스),"동양철학, 동양사상",2,16
9788997969500,낭송 주자어류 ,주희 지음 ;고미숙 기획,북드라망,"동양철학, 동양사상",1,17
9788935211166,천년의 내공 :내가 단단해지는 새벽 공부 ,조윤제 지음,청림출판,"동양철학, 동양사상",1,18
9788971992029,강의:나의 동양고전 독법,신영복 지음,돌베개,"동양철학, 동양사상",1,19
9788965960126,(마흔에 읽는) 손자병법 :내 인생의 전환점 ,강상구 지음,흐름출판,"동양철학, 동양사상",1,20
9791185035185,고전의 시작 :동양철학 ,"황광우,홍승기 지음",생각학교,"동양철학, 동양사상",1,21
9788998274795,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),일본문학 및 기타 아시아 제문학,2,23
9788956609959,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,한국문학,2,25
