ISBN,상품명,저자,출판사,분야,권수,누적권수
9788963600390,메시지 신약 - 일상의 언어로 쓰여진 성경 옆의 성경,"유진 피터슨 (지은이), 이종태, 김순현, 윤종석 (옮긴이), 김영봉 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>성경의 이해,1,1
9791193155738,"여호수아, 풀어쓴 성경 - 원문의 음성을 오늘의 목소리로 살려낸 번역과 메시지",강산 (지은이),감은사,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,3,4
9788954788007,EBSi 강의노트 수능개념 국어 김상태의 메시지 국어 - 언어와 매체 (2025년) - 2026학년도 수능 대비,김상태 (지은이),한국교육방송공사(EBSi),국내도서>고등학교참고서>수능대비>국어영역,1,5
9788963600406,메시지 구약 모세오경 - 일상의 언어로 쓰여진 성경 옆의 성경,"유진 피터슨 (지은이), 이종태, 김순현, 윤종석 (옮긴이), 김회권 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>성경의 이해,1,6
9788963602844,"메시지 로마서 (미니북) - 절대적으로 그 무엇도, 우리를 하나님의 사랑에서 떼어 놓을 수 없습니다.","유진 피터슨 (지은이), 김순현, 윤종석, 이종태 (옮긴이), 김영봉 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,7
9788963603001,메시지 잠언 (미니북) - 삶의 진수는 하나님을 경외하는 것에서 시작된다. 인생에 대한 통찰력은 거룩하신 하나님을 아는 데서 나온다.,"유진 피터슨 (지은이), 김순현, 윤종석, 이종태 (옮긴이), 김회권 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,8
9788963601502,메시지 구약 시가서 - 일상의 언어로 쓰여진 성경 옆의 성경,"유진 피터슨 (지은이), 이종태, 홍종락, 김순현 (옮긴이), 류호준, 김회권, 권연경, 김구원, 김성수 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>성경의 이해,1,9
9788963602998,메시지 시편 (미니북) - 오직 하나님 말씀에 사로잡혀 밤낮 성경말씀 곱씹는 그대!,"유진 피터슨 (지은이), 김순현, 윤종석, 이종태 (옮긴이), 김회권 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,10
9791170831556,메시지 구약 역사서,"유진 피터슨 (지은이), 이종태, 김순현, 윤종석 (옮긴이), 김회권 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>성경/찬송가>한영/외국어 성경>기타 한영/외국어 성경,1,11
9788963602837,메시지 요한복음 (미니북) - 그 말씀이 살과 피가 되어 우리가 사는 곳에 오셨다. 우리는 그 영광을 두 눈으로 보았다.,"유진 피터슨 (지은이), 김순현, 윤종석, 이종태 (옮긴이), 김영봉 (감수)",복있는사람,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,12
