ISBN,상품명,저자,출판사,분야,권수,누적권수
9791171179589.0,80:20 학습법,피터 홀린스,21세기북스,자기계발,1.0,1.0
9791130662381.0,초월하는 뇌,앨런 라이트먼,다산초당,과학,1.0,2.0
9791194171362.0,이월되지 않는 엄마,임경섭,난다,시/에세이,1.0,3.0
9791172100872.0,에브리데이 니팅 클럽,낙양모사,동양북스,취미/실용/스포츠,1.0,4.0
9791140712199.0,현명한 부모는 적당한 거리를 둔다,김민지,길벗,가정/육아,1.0,5.0
9791199075139.0,지금 거신 전화는 대본집 세트,김지운,BIRDBOX,예술/대중문화,2.0,7.0
9791193383216.0,잡스(Jobs) 6: 영화감독(Film Director),REFERENCE BY B 편집부,레퍼런스 바이 비,자기계발,1.0,8.0
9791192092461.0,아리스토텔레스와 그의 전복자들,박재용,사월의책,과학,1.0,9.0
9791171520787.0,비밀에 기대어,허진이,파지트,시/에세이,1.0,10.0
9791189895143.0,"열정의 아이콘, 라파엘 나달",코린 듀브뢰일,소우주,취미/실용/스포츠,1.0,11.0
9791198870032.0,낮과 밤,조르주 브라크,불란서책방,예술/대중문화,1.0,12.0
9791193528440.0,무엇이 성과를 만드는가,에두아르도 브리세뇨,부키,자기계발,1.0,13.0
9791166893193.0,"나는 의심한다, 고로 존재한다",한국 스켑틱 편집부,바다출판사,과학,1.0,14.0
9791172132057.0,나의 폴라 일지,김금희,한겨레출판사,시/에세이,1.0,15.0
9788971908983.0,관엽식물 퍼펙트북,Sugiyama Takumi,그린홈,취미/실용/스포츠,1.0,16.0
9791159924316.0,내 손이 사라졌다,이부록,알마,예술/대중문화,2.0,18.0
9791166893209.0,백팔번뇌 이야기,마쓰나미 고도,바다출판사,자기계발,1.0,19.0
9791169093446.0,빙하 곁에 머물기,신진화,글항아리,과학,1.0,20.0
9791194278085.0,향수의 계보학,ISP,파이퍼프레스,취미/실용/스포츠,1.0,21.0
9791198873330.0,누아르의 타자들,강봉래,출판공동체편않,예술/대중문화,1.0,22.0
9791193388167.0,애 같은 말투 10분 만에 바꿔 드립니다,김채린,서스테인,자기계발,1.0,23.0
9791194330639.0,도덕적인 AI,월터 시넛암스트롱 외,김영사,과학,1.0,24.0
9788958722397.0,아파트를 떠난 사람들,최민아,효형출판,취미/실용/스포츠,1.0,25.0
9791198330703.0,전진희 피아노 Jeon Jin Hee PIANO 2020-2024,전진희,픽션들(fictiondle),예술/대중문화,2.0,27.0
9791198721846.0,생각에 지친 뇌를 구하는 감정 사용법,베르너 티키 퀴스텐마허,나무사이,자기계발,1.0,28.0
9791130661308.0,스쿼시,팀 보울러,다산책방,청소년,1.0,29.0
9791170612162.0,손자병법,임용한,교보문고,역사/문화,1.0,30.0
9791161255262.0,매일 스케치 여행,연필이야기,더디퍼런스,예술/대중문화,1.0,31.0
9788962626391.0,양자역학의 역사,데이비드 카이저,동아시아,과학,1.0,32.0
9791169084239.0,도파민 인류를 위한 대화의 감각,이승화,오리지널스,자기계발,1.0,33.0
9791194357100.0,매일 통증,안병택,유노라이프,건강,1.0,34.0
9791192376486.0,히틀러와 스탈린,로런스 리스,페이퍼로드,역사/문화,1.0,35.0
